frame,numActive,speedActive,speedAll,distAll,distActive,distQueen,distClosest,queenCount,numForager,queenArea
3,0,0,0.929182,15.493269,NaN,8.494804,6.137469,9,0,4061
8,0,0,0.725507,15.537767,NaN,8.530411,6.191294,9,0,4063
13,0,0,0.803565,15.596896,NaN,8.585574,6.245859,9,0,4067
18,1,6.627289,1.089203,15.705076,NaN,8.673706,6.325945,9,0,4100
23,1,6.511636,0.862351,15.677074,NaN,8.685415,6.359128,9,0,4115
28,1,11.205927,1.787313,15.514593,NaN,8.620275,6.331727,9,0,4125
33,1,6.573409,1.127443,15.307821,NaN,8.524912,6.26259,9,0,4183
38,0,0,0.874064,15.477265,NaN,8.660618,6.100758,9,0,4176
43,2,9.201333,1.586104,15.771153,50.684342,8.853685,5.875786,9,0,4119
48,2,8.285089,1.517414,15.765384,48.57451,8.866335,5.740212,9,0,4118
53,2,10.339054,2.05361,15.613692,46.514172,8.808063,5.359671,9,0,4163
58,1,7.992044,1.244297,15.704536,NaN,8.901627,4.848061,9,0,4171
63,1,11.163665,1.288805,15.924959,NaN,9.048205,4.922286,9,0,4234
68,2,10.112145,1.668218,15.806864,37.523809,8.993187,5.012233,9,0,4249
73,2,9.9596,1.63078,15.662261,34.08086,8.90284,5.307244,9,0,4263
78,1,14.694418,1.832333,15.146979,NaN,8.618159,5.186437,9,0,4347
83,1,10.04156,1.255752,14.643467,NaN,8.334019,5.0617,9,0,4334
88,2,13.056774,2.239573,13.983369,28.154489,7.96897,5.043117,9,0,4334
93,2,12.708216,2.261558,13.199948,22.80964,7.543131,5.050989,9,0,4368
98,2,14.737855,2.49189,12.347209,16.322567,7.095293,4.906135,9,0,4369
103,3,12.888932,4.007844,11.275588,21.697447,6.473664,4.132136,9,0,4091
108,2,10.575835,2.077205,11.084362,17.362074,6.385426,4.704336,9,0,4043
113,1,7.978099,1.279661,10.61639,NaN,6.052091,4.678717,9,0,4043
118,2,15.552466,2.595103,9.78481,22.263565,5.573001,4.019395,9,0,4027
123,1,18.610105,1.7764,8.907701,NaN,5.107074,3.364252,9,0,4015
128,1,15.814227,2.032173,7.925477,NaN,4.544228,2.920364,9,0,4022
133,1,12.354343,1.239628,7.462693,NaN,4.281625,2.737563,9,0,4014
138,2,7.219276,1.609422,7.421873,7.199084,4.46419,2.603286,8,0,3967
143,1,7.005103,1.13196,7.502688,NaN,4.544882,2.741779,8,0,3974
148,2,7.668198,1.481732,7.647899,7.627425,4.652753,2.491405,8,0,3963
153,1,5.471609,1.464579,7.771538,NaN,4.718223,2.427018,8,0,3983
158,1,6.891719,1.060468,7.860316,NaN,4.746473,2.541458,8,0,3981
163,1,6.130372,1.021721,7.750509,NaN,4.635191,2.468799,8,0,3991
168,1,5.473653,1.045547,7.333867,NaN,4.36368,2.488293,8,0,3981
173,0,0,1.052842,7.152246,NaN,4.231146,2.463602,8,0,3961
178,1,8.857364,1.932921,7.127009,NaN,4.135088,2.631804,8,0,3978
183,1,6.365299,0.995108,7.122287,NaN,4.129167,2.626228,8,0,4019
188,2,7.256073,1.352061,7.568423,10.680447,4.419168,2.876431,8,0,3995
193,2,7.540155,2.634825,7.743599,8.006009,4.551412,2.590886,8,0,4016
198,2,14.118658,3.009845,7.579771,8.047944,4.378825,2.891174,9,0,4286
203,2,15.290494,3.86904,8.578275,8.242102,5.196404,2.963434,8,0,4063
208,3,12.331443,3.652237,8.827096,16.220679,5.293078,2.547223,8,0,4078
213,2,5.3307,1.687041,8.82025,25.358179,5.262196,2.251911,8,0,4085
218,1,11.680907,1.482091,8.399188,NaN,4.849051,2.811467,9,0,4331
223,1,12.144374,1.535989,9.300548,NaN,5.343825,3.537489,9,0,4273
228,3,10.000706,2.89528,9.021683,20.254916,5.16475,3.434237,9,0,4322
233,1,16.749431,1.637096,9.038659,NaN,5.175799,3.997177,9,0,4311
238,2,16.393217,2.623064,8.54872,9.455088,4.913354,3.210484,9,0,4291
243,2,18.226325,2.996465,9.121665,11.749329,5.182471,3.410792,9,0,4320
248,2,10.47284,2.05904,9.301444,31.203139,5.256533,3.512732,9,0,4345
253,3,11.354239,3.760498,9.192348,25.968321,5.0337,3.994723,10,0,4590
258,1,6.146005,1.520678,9.256348,NaN,5.142185,3.720992,9,0,4388
263,2,12.691601,3.121265,9.696221,33.661877,5.449202,3.954685,8,0,4144
268,1,5.508135,0.94783,9.402561,NaN,5.062413,4.149369,9,0,4441
273,1,7.315093,3.116034,10.061464,NaN,5.605149,4.226698,8,0,4152
278,1,21.334775,4.736774,10.299008,NaN,5.550567,4.497413,9,0,4409
283,1,14.390853,2.079807,11.046506,NaN,6.093494,4.653887,8,0,4144
288,1,11.904643,1.789148,10.80812,NaN,5.695091,4.906116,10,0,4605
293,1,11.132108,1.486208,11.514164,NaN,6.160349,5.153213,9,0,4414
298,1,11.887745,2.425361,11.451894,NaN,6.017426,5.268467,10,0,4664
303,1,7.766413,2.546109,11.764045,NaN,6.185631,5.059422,10,0,4412
308,1,13.696928,1.403289,12.267176,NaN,6.447919,5.318472,10,0,4431
313,1,13.08026,2.019789,12.64431,NaN,6.654401,5.461538,10,0,4430
318,1,13.317687,1.833659,13.46933,NaN,7.192015,6.077402,9,0,4322
323,1,10.59404,1.653294,12.937393,NaN,6.821689,5.876085,10,0,4576
328,2,11.733819,3.046078,12.925381,62.092676,6.828555,5.852042,10,0,4562
333,2,11.563032,4.091322,13.449052,64.18822,7.237257,5.906443,9,0,4218
338,1,5.159397,1.919814,13.603809,NaN,7.30434,5.898299,9,0,4213
343,0,0,0.498384,13.304178,NaN,7.002824,5.952193,10,0,4559
348,0,0,1.343714,13.85699,NaN,7.443147,6.008017,9,0,4246
353,0,0,2.255081,14.097446,NaN,7.582311,6.148183,9,0,4244
358,2,6.122237,1.849846,13.834842,66.052922,7.309907,6.107254,10,0,4521
363,2,6.383792,1.038379,14.260804,63.294248,7.55988,6.387328,10,0,4485
368,1,10.803504,1.230122,14.629884,NaN,7.770724,6.536458,10,0,4540
373,1,6.889348,1.319149,15.211274,NaN,8.232949,6.279985,9,0,4268
378,0,0,1.325078,15.348768,NaN,8.308037,6.338802,9,0,4223
383,0,0,1.045869,15.600118,NaN,8.465235,6.309225,9,0,4203
388,2,6.723015,1.592839,15.59712,58.585428,8.339449,6.737698,10,0,4470
393,1,5.332951,1.636535,16.080975,NaN,8.732306,6.279147,9,0,4193
398,0,0,1.387877,16.252525,NaN,8.845256,6.292093,9,0,4203
403,0,0,2.394528,16.43621,NaN,8.970308,6.641091,9,0,4220
408,0,0,1.953348,16.63038,NaN,9.106002,6.669282,9,0,4226
413,0,0,1.361739,16.647528,NaN,9.116486,6.653215,9,0,4290
418,0,0,0.994049,16.708442,NaN,9.152757,6.666066,9,0,4310
423,1,6.684832,2.124278,14.151274,NaN,7.392704,6.370722,10,0,4280
428,2,7.131841,1.881028,14.028796,66.378612,7.253659,5.833655,11,0,4656
433,1,7.627888,1.530431,14.25912,NaN,7.389571,5.811352,11,0,4589
438,0,0,0.253363,3.702242,NaN,1.948477,1.974032,11,0,4325
443,0,0,0.333836,3.668455,NaN,1.931996,1.952866,11,0,4224
448,0,0,0.525871,3.737861,NaN,1.966663,1.989773,11,0,4276
453,1,10.774896,1.832181,14.645333,NaN,7.722852,6.382839,10,0,4198
458,0,0,0.722386,17.09251,NaN,9.563381,5.269866,9,0,4114
463,0,0,0.716754,17.017922,NaN,9.525116,5.144523,9,0,4126
468,0,0,0.878033,14.810953,NaN,7.835331,6.290242,10,0,4121
473,1,5.424674,1.638073,16.284229,NaN,8.93686,5.722316,10,0,4342
478,1,6.398111,1.95519,16.119042,NaN,8.82708,5.765281,10,0,4333
483,0,0,1.033232,16.060262,NaN,8.762535,5.909725,10,0,4322
488,0,0,0.414548,16.481166,NaN,9.122174,5.86443,9,0,4147
493,0,0,0.406107,16.54302,NaN,9.156733,5.899985,9,0,4073
498,0,0,0.437085,16.484057,NaN,9.133818,5.831108,9,0,4035
503,0,0,0.807167,16.436909,NaN,9.115534,5.802281,9,0,4008
508,0,0,0.509656,16.350967,NaN,9.069271,5.769651,9,0,4002
513,0,0,0.735851,16.412866,NaN,9.107865,5.828661,9,0,3997
518,0,0,0.77132,16.418969,NaN,9.108497,5.950934,9,0,3992
523,1,11.054296,1.730503,16.577539,NaN,9.347623,5.900885,8,0,3702
528,1,5.725084,1.396577,16.147793,NaN,9.044767,5.849482,8,0,3722
533,0,0,1.502294,15.79942,NaN,8.675672,6.092284,9,0,3989
538,1,6.822023,1.090757,15.80947,NaN,8.669831,6.046403,9,0,3996
543,1,5.658408,0.904638,15.965137,NaN,8.759575,6.019581,9,0,4024
548,1,5.915837,0.74503,16.180243,NaN,8.884546,6.004943,9,0,4012
553,0,0,2.212776,16.330268,NaN,8.974101,5.945686,9,0,3986
558,0,0,0.859928,16.123773,NaN,8.85838,5.891261,9,0,3984
563,1,7.984352,1.367595,16.263502,NaN,9.122074,5.771343,8,0,3715
568,0,0,1.082721,16.021038,NaN,8.790878,5.872909,9,0,4008
573,1,6.089725,0.807093,15.781424,NaN,8.653598,5.844193,9,0,3987
578,1,5.763727,1.425118,15.505393,NaN,8.492189,5.866244,9,0,4012
583,0,0,1.057227,15.427486,NaN,8.469004,5.9605,9,0,3984
588,1,5.956829,0.712938,14.870842,NaN,8.01748,6.088658,10,0,4169
593,1,8.987199,1.157213,14.446109,NaN,7.769866,6.015764,10,0,4251
598,0,0,0.975832,14.279446,NaN,7.684505,5.818556,10,0,4217
603,1,6.58163,1.175234,14.203699,NaN,7.649213,5.571321,10,0,4013
608,2,8.065958,1.459253,13.875838,6.445271,7.46137,5.505854,10,0,4025
613,1,13.441589,1.716678,14.190302,NaN,7.69877,5.049254,10,0,3973
618,0,0,1.016922,14.586106,NaN,8.047757,5.154135,9,0,3736
623,0,0,0.652578,14.451629,NaN,7.859826,5.159854,10,0,4017
628,0,0,1.198911,14.472697,NaN,7.879788,5.145382,10,0,4021
633,0,0,0.718701,14.331548,NaN,7.795881,5.169383,10,0,4017
638,0,0,0.428116,14.284041,NaN,7.769831,5.193699,10,0,4032
643,0,0,0.849842,14.617203,NaN,8.085805,5.801002,9,0,4044
648,0,0,0.492732,13.038566,NaN,6.906908,5.234981,10,0,3721
653,1,8.874867,1.421841,13.343465,NaN,7.251296,4.932611,9,0,3724
658,1,6.079817,0.699466,12.83264,NaN,6.810332,5.157728,10,0,3714
663,0,0,1.689789,12.769253,NaN,6.776877,5.152347,10,0,3722
668,1,10.652234,1.724453,12.570025,NaN,6.6698,5.767223,10,0,3964
673,1,9.390817,1.635428,12.701484,NaN,6.859064,5.41988,9,0,3721
678,0,0,1.074064,14.249388,NaN,8.041327,5.540754,8,0,3711
683,1,5.025986,0.761194,14.071193,NaN,7.926218,5.545432,8,0,3712
688,0,0,0.75921,13.76748,NaN,7.745134,5.565604,8,0,3713
693,0,0,0.613133,13.798668,NaN,7.754576,5.580475,8,0,3723
698,0,0,0.766487,13.680468,NaN,7.674754,5.377307,8,0,3714
703,0,0,0.825815,13.550896,NaN,7.579509,5.225427,8,0,3726
708,0,0,0.733827,13.362098,NaN,7.48761,5.167966,8,0,3718
713,1,5.454068,0.779834,13.17213,NaN,7.375251,5.189644,8,0,3721
718,0,0,0.95736,13.045644,NaN,7.311423,5.229371,8,0,3712
723,1,5.441291,0.748448,12.822038,NaN,7.18308,5.183637,8,0,3720
728,0,0,1.131598,12.6129,NaN,7.049603,5.170469,8,0,3716
733,0,0,0.424209,12.5176,NaN,6.975977,5.223028,8,0,3724
738,0,0,0.351431,12.51076,NaN,6.971513,5.242233,8,0,3712
743,0,0,0.336538,12.490567,NaN,6.957998,5.268161,8,0,3702
748,0,0,0.373131,12.503376,NaN,6.968741,5.271338,8,0,3710
753,0,0,0.763005,12.51482,NaN,6.987594,5.279142,8,0,3721
758,0,0,0.523036,12.475792,NaN,6.978346,5.279905,8,0,3728
763,0,0,0.789741,12.1809,NaN,6.611077,5.255291,9,0,3714
768,0,0,0.705833,12.260692,NaN,6.664616,5.248551,9,0,3705
773,0,0,2.67313,11.723838,NaN,6.190603,5.070196,10,0,4246
778,0,0,2.063109,11.632586,NaN,6.138287,5.030776,10,0,4257
783,0,0,0.417339,11.471435,NaN,6.050394,4.968783,10,0,4338
788,0,0,0.578554,10.620146,NaN,5.4506,5.454805,11,0,4406
793,0,0,0.377948,10.506828,NaN,5.386665,5.462529,11,0,4386
798,0,0,0.476776,10.382043,NaN,5.323397,5.404667,11,0,4321
803,0,0,0.601665,10.294485,NaN,5.276482,5.382758,11,0,4298
808,0,0,0.372298,9.404584,NaN,4.746972,4.653677,12,0,4346
813,0,0,1.712749,10.165496,NaN,5.211493,5.296777,11,0,4281
818,0,0,1.525892,9.402034,NaN,4.745783,4.581071,12,0,4304
823,0,0,1.577829,9.386954,NaN,4.738149,4.578848,12,0,4266
828,0,0,1.794758,10.657635,NaN,5.565608,4.879703,10,0,4010
833,1,5.074542,0.96763,11.045217,NaN,5.893191,4.927605,9,0,3743
838,0,0,0.856847,10.163086,NaN,5.194246,4.725159,11,0,4005
843,0,0,0.757698,10.215327,NaN,5.22436,4.479081,11,0,3749
848,0,0,0.866061,10.654099,NaN,5.540604,4.766332,10,0,3751
853,0,0,1.260563,11.065444,NaN,5.738551,5.041783,10,0,3977
858,1,5.666952,1.837385,11.213367,NaN,5.807849,5.13638,10,0,3988
863,0,0,0.595204,11.403044,NaN,5.89614,5.245016,10,0,3977
868,1,5.763548,1.994523,11.263652,NaN,5.865807,5.118176,10,0,4235
873,0,0,2.942087,10.753544,NaN,5.482981,5.651477,11,0,4547
878,0,0,2.103775,11.150412,NaN,5.777381,5.269568,10,0,4332
883,0,0,0.249841,10.171306,NaN,5.130552,5.082961,12,0,4625
888,0,0,1.10762,10.594321,NaN,5.400643,5.09938,11,0,4276
893,0,0,0.754636,10.583615,NaN,5.396178,5.093395,11,0,4278
898,0,0,0.489133,10.59347,NaN,5.402747,5.079172,11,0,4231
903,0,0,1.799388,11.232717,NaN,5.830584,5.306115,10,0,4265
908,0,0,2.051334,10.846193,NaN,5.539709,5.693715,11,0,4468
913,0,0,0.344045,11.273302,NaN,5.861727,5.25906,10,0,4221
918,0,0,0.315423,11.255861,NaN,5.850185,5.23585,10,0,4252
923,0,0,0.705989,10.839542,NaN,5.539212,5.669508,11,0,4504
928,0,0,1.419936,10.843277,NaN,5.540944,5.676619,11,0,4512
933,0,0,1.567563,10.831652,NaN,5.535015,5.670322,11,0,4523
938,0,0,0.655274,10.853239,NaN,5.545274,5.679779,11,0,4513
943,0,0,0.878033,11.310011,NaN,5.87707,5.289837,10,0,4251
948,0,0,0.345559,11.383757,NaN,5.914361,5.340859,10,0,4250
953,0,0,0.873119,11.478228,NaN,5.960375,5.411111,10,0,4287
958,0,0,0.340433,11.511155,NaN,5.974195,5.434467,10,0,4240
963,0,0,0.392454,11.536224,NaN,5.986059,5.432615,10,0,4236
968,0,0,0.558633,11.620099,NaN,6.034193,5.443898,10,0,4216
973,0,0,0.497429,11.694158,NaN,6.083737,5.482444,10,0,4208
978,0,0,1.001761,11.740958,NaN,6.108976,5.46871,10,0,4231
983,0,0,0.393594,11.706566,NaN,6.095476,5.394155,10,0,4217
988,0,0,0.566242,11.626256,NaN,6.058446,5.377202,10,0,4204
993,1,8.371423,1.019714,11.529709,NaN,6.012754,5.294923,10,0,4209
998,0,0,0.448884,11.431395,NaN,5.965212,5.249029,10,0,4222
1003,0,0,0.822156,11.242315,NaN,5.868688,5.182226,10,0,4223
1008,0,0,0.396505,11.135966,NaN,5.810267,5.187537,10,0,4220
1013,1,5.020679,2.122873,11.154343,NaN,5.834464,5.165666,10,0,4225
1018,0,0,2.149784,11.116214,NaN,5.834879,5.121107,10,0,4245
1023,0,0,0.784642,11.02091,NaN,5.782899,5.098121,10,0,4266
1028,1,7.237566,2.001179,11.007019,NaN,5.790841,4.632,10,0,4029
1033,0,0,2.9197,11.217157,NaN,6.030067,4.801589,9,0,4023
1038,0,0,4.081374,10.28132,NaN,5.349579,4.222044,11,0,4540
1043,0,0,2.112022,10.56975,NaN,5.594303,4.553971,10,0,4200
1048,2,8.297046,2.137491,10.843852,9.990174,5.732903,4.835852,10,0,4246
1053,1,5.480237,2.200965,11.361419,NaN,6.162359,4.763126,9,0,3965
1058,1,7.269586,1.715234,11.079822,NaN,5.877294,4.465585,10,0,3948
1063,1,5.167254,0.875524,11.240098,NaN,5.984512,4.422311,10,0,3960
1068,1,6.354268,0.952311,11.393927,NaN,6.078707,4.439263,10,0,3948
1073,0,0,0.66487,11.575387,NaN,6.190885,4.423969,10,0,3975
1078,0,0,1.127625,11.712392,NaN,6.265869,4.452896,10,0,3997
1083,0,0,1.662314,11.700176,NaN,6.270508,4.399118,10,0,4024
1088,0,0,1.347517,11.898154,NaN,6.415773,4.869269,10,0,4218
1093,1,7.197556,1.10369,11.869279,NaN,6.420561,4.701221,10,0,4230
1098,1,7.367492,1.181005,11.983952,NaN,6.511193,4.506343,10,0,4244
1103,0,0,1.126588,11.991945,NaN,6.537038,4.353084,10,0,4256
1108,0,0,0.831909,11.407472,NaN,6.115985,3.744661,11,0,4246
1113,0,0,0.602093,11.315478,NaN,6.075187,3.527364,11,0,4278
1118,0,0,0.43553,11.251361,NaN,6.04375,3.456153,11,0,4245
1123,0,0,0.887522,11.980329,NaN,6.606383,3.525013,10,0,4192
1128,1,7.396811,1.633851,12.374314,NaN,6.878975,3.182738,10,0,4229
1133,1,5.650411,0.916051,12.239218,NaN,6.680155,2.962856,11,0,4237
1138,0,0,0.532269,12.458796,NaN,6.819583,2.897232,11,0,4270
1143,0,0,0.650823,12.401227,NaN,6.795277,2.971187,11,0,4257
1148,1,7.260912,0.978859,12.449308,NaN,6.831462,3.210099,11,0,4216
1153,0,0,1.339111,12.519581,NaN,6.906397,3.398574,11,0,4211
1158,0,0,0.809512,13.03017,NaN,7.333962,4.19869,10,0,4187
1163,0,0,0.959946,13.072233,NaN,7.352686,4.328144,10,0,4214
1168,1,5.976318,0.920521,12.894748,NaN,7.255809,4.347562,10,0,4236
1173,1,6.331882,1.176435,12.719106,NaN,7.15743,4.263549,10,0,4203
1178,0,0,2.038014,12.453538,NaN,7.01507,4.032859,10,0,4246
1183,0,0,0.51187,11.846363,NaN,6.556669,2.95177,11,0,4461
1188,0,0,1.112023,11.767553,NaN,6.514321,2.937851,11,0,4463
1193,0,0,1.219887,11.694904,NaN,6.472506,2.944845,11,0,4492
1198,1,5.326826,0.882735,11.651888,NaN,6.456948,2.847507,11,0,4592
1203,1,5.769767,1.375089,9.722724,NaN,5.164695,4.465951,11,0,4273
1208,1,7.045064,0.942788,10.042025,NaN,5.358286,4.661268,11,0,4213
1213,0,0,0.484661,9.902668,NaN,5.287663,4.568288,11,0,4207
1218,0,0,0.517173,9.709976,NaN,5.187345,4.483989,11,0,4168
1223,0,0,0.509555,9.53172,NaN,5.093848,4.402586,11,0,4158
1228,0,0,1.103346,9.366998,NaN,5.014491,4.284083,11,0,4189
1233,1,5.141524,1.145675,11.443442,NaN,6.5898,3.01173,10,0,4176
1238,0,0,0.588965,9.130515,NaN,4.903934,4.085667,11,0,4171
1243,0,0,0.74508,11.082419,NaN,6.397767,2.859718,10,0,4187
1248,1,6.204354,1.018678,10.73344,NaN,6.211133,2.746028,10,0,4215
1253,1,6.631088,1.569487,10.420445,NaN,6.037683,2.710714,10,0,4185
1258,2,7.91492,1.499649,9.942907,17.87778,5.769344,2.636354,10,0,4198
1263,2,9.355978,1.623551,9.41173,16.989973,5.470144,2.604266,10,0,4166
1268,1,6.64602,1.200316,9.206643,NaN,5.341652,2.059821,10,0,4175
1273,1,6.577294,1.025297,9.03449,NaN,5.242511,1.616492,10,0,4141
1278,0,0,1.239574,9.079123,NaN,5.270411,1.19193,10,0,4140
1283,0,0,0.411451,9.049272,NaN,5.243252,1.132523,10,0,4110
1288,0,0,0.795419,8.965819,NaN,5.189092,1.232979,10,0,4141
1293,0,0,0.543715,8.793845,NaN,5.086446,1.325412,10,0,4216
1298,0,0,0.765751,9.237918,NaN,5.384571,1.698556,9,0,4024
1303,0,0,0.837852,9.174134,NaN,5.350559,1.592175,9,0,3972
1308,0,0,0.759269,8.556043,NaN,4.962023,1.003929,10,0,4134
1313,0,0,0.389317,8.493137,NaN,4.926369,0.904877,10,0,4137
1318,0,0,0.440543,8.428509,NaN,4.884617,0.797313,10,0,4130
1323,0,0,0.848022,8.22138,NaN,4.759274,0.722601,10,0,4178
1328,0,0,1.300833,7.921374,NaN,4.578725,0.667007,10,0,4203
1333,0,0,0.342919,7.847088,NaN,4.531032,0.631318,10,0,4205
1338,0,0,0.756214,7.793967,NaN,4.48672,0.648184,10,0,4221
1343,1,7.038953,1.111661,7.43754,NaN,4.256065,0.986135,10,0,4203
1348,1,6.045498,0.85837,7.159537,NaN,4.06574,1.464905,10,0,4224
1353,1,5.489503,1.378374,6.980124,NaN,3.945401,1.773572,10,0,4232
1358,1,7.907207,0.88297,6.669418,NaN,3.761333,1.948012,10,0,4237
1363,1,7.391611,1.096391,6.276413,NaN,3.546357,1.857728,10,0,4247
1368,1,5.052138,0.710364,5.790867,NaN,3.28416,1.714952,10,0,4279
1373,0,0,0.355646,5.718559,NaN,3.25374,1.65746,10,0,4288
1378,0,0,1.059717,5.807558,NaN,3.306031,1.692706,10,0,4269
1383,1,6.968664,1.316794,5.583009,NaN,3.045719,1.743237,11,0,4505
1388,1,7.013151,1.95221,6.319598,NaN,3.56147,1.96012,10,0,4276
1393,1,6.015073,0.7038,6.727762,NaN,3.765236,2.177791,10,0,4290
1398,1,7.340317,0.779862,6.56462,NaN,3.685869,2.090172,10,0,4334
1403,1,15.438428,1.853643,6.727514,NaN,3.746882,2.198873,10,0,4276
1408,1,9.451395,1.977885,6.393885,NaN,3.426832,2.318081,11,0,4507
1413,1,17.232114,2.265296,6.083941,NaN,3.256512,2.179702,11,0,4501
1418,1,10.524975,1.74636,6.028664,NaN,3.338511,2.183145,10,0,4273
1423,1,9.90148,2.237904,6.253174,NaN,3.467744,2.185435,10,0,4203
1428,1,9.072326,1.830855,6.900637,NaN,3.804759,2.5283,10,0,4228
1433,2,7.187064,1.658068,6.829836,26.851676,3.647315,2.364335,11,0,4444
1438,1,6.163631,1.022113,7.044805,NaN,3.772157,2.518073,11,0,4502
1443,0,0,0.87409,7.122918,NaN,3.821864,2.530435,11,0,4495
1448,1,6.943947,0.989972,6.931934,NaN,3.72708,2.306187,11,0,4539
1453,1,15.280988,2.917191,6.648635,NaN,3.57741,2.204368,11,0,4471
1458,1,12.166148,2.509851,7.076839,NaN,3.922934,2.461399,10,0,4259
1463,1,6.252049,2.442295,7.169744,NaN,3.948722,2.520188,10,0,4232
1468,0,0,1.835787,6.464296,NaN,3.434176,2.361722,11,0,4509
1473,2,6.376973,1.075219,5.516947,25.865008,2.834388,3.695001,12,0,4465
1478,0,0,1.240947,5.614979,NaN,2.892573,1.95796,12,0,4468
1483,0,0,0.299479,5.571225,NaN,2.866775,1.998887,12,0,4494
1488,0,0,0.997851,6.107638,NaN,3.251226,2.292995,11,0,4511
1493,0,0,0.920686,5.429149,NaN,2.789366,3.634148,12,0,4742
1498,0,0,0.545658,6.014647,NaN,3.180024,2.553364,11,0,4486
1503,0,0,1.009845,5.920455,NaN,3.115847,2.618256,11,0,4480
1508,0,0,0.422676,5.863821,NaN,3.07591,2.69432,11,0,4499
1513,0,0,0.540108,5.871968,NaN,3.075748,2.743243,11,0,4500
1518,0,0,0.408991,5.871384,NaN,3.066812,2.826849,11,0,4519
